dataset,model,seed,total_parameters,trainable_parameters,best_epoch,best_val_accuracy,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,validation_accuracy,validation_precision_macro,validation_recall_macro,validation_f1_macro,training_time_seconds,total_wall_time_seconds,best_model_path,status
CIFAR10,HybridCNN_GWO_Run1,42,,,,,,,,,,,,,,,,IMPORTED
CIFAR10,HybridCNN_GWO_Run3,42,,,,,,,,,,,,,,,,IMPORTED
CIFAR10,HybridCNN_WOA_Run3,42,,,,,,,,,,,,,,,,IMPORTED
CIFAR10,efficientnet-b0,42,4020358,4020358,48,0.7374,0.7345,,,,,,,,2949.925302799995,,results/final_experiments\CIFAR10\efficientnet-b0\best_model.pth,SUCCESS
CIFAR10,mobilenetv3-large,42,4214842,4214842,38,0.557,0.5556,,,,,,,,2263.4574673000025,,results/final_experiments\CIFAR10\mobilenetv3-large\best_model.pth,SUCCESS
CIFAR10,shufflenetv2-1.5x,42,2488874,2488874,14,0.7154,0.7086,,,,,,,,1114.2218081000028,,results/final_experiments\CIFAR10\shufflenetv2-1.5x\best_model.pth,SUCCESS
ISIC2019,HybridCNN_GWO_Run1,42,,,,,,,,,,,,,,,,FAILED
ISIC2019,HybridCNN_GWO_Run3,42,,,,,,,,,,,,,,,,FAILED
ISIC2019,HybridCNN_WOA_Run3,42,,,,,,,,,,,,,,,,FAILED
ISIC2019,efficientnet-b0,42,4017796,4017796,14,0.6903633491311216,0.6781132820209197,,,,,,,,27213.151752300008,,results/final_experiments\ISIC2019\efficientnet-b0\best_model.pth,SUCCESS
ISIC2019,mobilenetv3-large,42,4212280,4212280,13,0.6808846761453397,0.6603512926781133,,,,,,,,16750.485247300006,,results/final_experiments\ISIC2019\mobilenetv3-large\best_model.pth,SUCCESS
ISIC2019,shufflenetv2-1.5x,42,2486824,2486824,8,0.6591627172195893,0.6569962502466943,,,,,,,,12076.495540999982,,results/final_experiments\ISIC2019\shufflenetv2-1.5x\best_model.pth,SUCCESS
BrainTumor,HybridCNN_GWO_Run1,42,,,,,,,,,,,,,,,,FAILED
BrainTumor,HybridCNN_GWO_Run3,42,,,,,,,,,,,,,,,,FAILED
BrainTumor,HybridCNN_WOA_Run3,42,,,,,,,,,,,,,,,,FAILED
BrainTumor,efficientnet-b0,42,4012672,4012672,35,0.926875,,,,,,,,,15659.409054299991,,results/final_experiments\BrainTumor\efficientnet-b0\best_model.pth,SUCCESS
BrainTumor,mobilenetv3-large,42,4207156,4207156,19,0.924375,,,,,,,,,6258.949563299975,,results/final_experiments\BrainTumor\mobilenetv3-large\best_model.pth,SUCCESS
BrainTumor,shufflenetv2-1.5x,42,2482724,2482724,27,0.91875,,,,,,,,,8800.456879200006,,results/final_experiments\BrainTumor\shufflenetv2-1.5x\best_model.pth,SUCCESS
